<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0       6    1.910914e+01    0.000e+00    3.031e+02
    1      15    1.164412e+01    0.000e+00    5.103e+02    7.587e-02
    2      23    1.052970e+01    0.000e+00    6.216e+02    1.475e-02
    3      29    4.506234e+00    0.000e+00    3.147e+02    1.108e-01
    4      43    3.522860e+00    0.000e+00    4.703e+02    2.181e-02
    5      50    3.504193e+00    0.000e+00    1.774e+02    9.779e-04
    6      61    3.336190e+00    0.000e+00    6.932e+01    4.074e-02
    7      67    2.830360e+00    0.000e+00    2.629e+02    3.118e-01
    8      74    2.311351e+00    0.000e+00    1.397e+02    3.907e-01
    9      81    2.323686e+00    0.000e+00    4.356e+02    5.510e-01
   10      95    2.164173e+00    0.000e+00    1.618e+02    1.228e-02
   11     102    1.777092e+00    0.000e+00    1.146e+02    6.589e-02
   12     108    9.108923e-01    0.000e+00    1.201e+02    6.071e-01
   13     115    4.940046e-01    0.000e+00    4.974e+01    2.361e-01
   14     123    4.441938e-01    0.000e+00    5.182e+01    5.944e-02
   15     130    2.852189e-01    0.000e+00    4.381e+01    1.120e-01
   16     136    2.000761e-01    0.000e+00    1.756e+01    4.355e-02
   17     143    1.905513e-01    0.000e+00    4.867e+01    9.274e-02
   18     149    1.007023e-01    0.000e+00    2.310e+01    1.018e-02
   19     155    5.282789e-02    0.000e+00    2.071e+01    1.299e-02
   20     161    3.953516e-02    0.000e+00    2.053e+01    2.785e-03
   21     170    4.063530e-02    0.000e+00    2.175e+01    1.233e-02
   22     176    3.517404e-02    0.000e+00    7.290e+01    1.645e-02
   23     190    3.490269e-02    0.000e+00    4.785e+00    3.289e-04
   24     197    3.466409e-02    0.000e+00    8.968e+01    2.103e-03
   25     207    3.250624e-02    0.000e+00    1.294e+01    2.743e-03
   26     215    3.252179e-02    0.000e+00    3.975e+01    2.048e-03
   27     225    2.972055e-02    0.000e+00    6.203e+00    2.136e-03
   28     232    2.757550e-02    0.000e+00    1.858e+01    8.521e-03
   29     238    2.654545e-02    0.000e+00    3.228e+01    5.351e-03
   30     247    2.631735e-02    0.000e+00    1.497e+01    1.396e-02

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31     254    3.079276e-02    0.000e+00    1.352e+01    3.456e-02
   32     260    2.255110e-02    0.000e+00    4.933e+00    1.487e-02
   33     266    2.010959e-02    0.000e+00    3.468e+01    9.619e-03
   34     272    2.127691e-02    0.000e+00    3.748e+01    9.944e-03
   35     290    2.127783e-02    0.000e+00    1.251e+01    8.060e-06
   36     296    2.135617e-02    0.000e+00    9.354e+00    2.081e-03
   37     302    1.967586e-02    0.000e+00    9.471e+00    4.370e-03
   38     310    1.580371e-02    0.000e+00    9.566e+00    1.451e-02
   39     317    1.669155e-02    0.000e+00    1.179e+01    6.118e-03
   40     323    1.776982e-02    0.000e+00    1.636e+01    7.375e-03
   41     330    1.853085e-02    0.000e+00    1.234e+01    4.681e-03
   42     336    1.822437e-02    0.000e+00    3.117e+01    1.446e-03
   43     343    1.479593e-02    0.000e+00    2.938e+01    1.728e-02
   44     349    1.482805e-02    0.000e+00    9.926e+00    9.592e-03
   45     355    1.726374e-02    0.000e+00    1.016e+01    1.598e-02
   46     361    1.632801e-02    0.000e+00    2.351e+01    5.423e-03
   47     370    1.544490e-02    0.000e+00    2.240e+01    5.686e-03
   48     380    1.540386e-02    0.000e+00    1.561e+01    2.182e-05
   49     386    1.543299e-02    0.000e+00    3.022e+01    1.316e-03
   50     396    1.506479e-02    0.000e+00    8.167e+00    5.410e-04
   51     404    1.546311e-02    0.000e+00    1.333e+01    2.753e-03
   52     412    1.573052e-02    0.000e+00    1.327e+01    2.362e-03
   53     421    1.432071e-02    0.000e+00    1.584e+01    5.936e-03
   54     427    1.514764e-02    0.000e+00    1.289e+01    6.761e-03
   55     433    1.501168e-02    0.000e+00    1.338e+01    1.280e-03
   56     442    1.489717e-02    0.000e+00    3.053e+01    1.033e-03
   57     448    1.499177e-02    0.000e+00    1.213e+01    7.019e-04
   58     462    1.500799e-02    0.000e+00    6.249e+00    1.062e-05
   59     469    1.501727e-02    0.000e+00    4.856e+00    8.737e-05
