<strong><< OPTIMIZATION START >></strong>

Initial point X0 is not between bounds LB and UB; 
FMINCON shifted X0 to strictly satisfy the bounds.

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0       7    2.976535e+00    0.000e+00    6.282e+02
    1      26    5.621251e-01    0.000e+00    1.458e+02    9.535e-03
    2      38    4.577246e-01    0.000e+00    4.898e+01    3.937e-03
    3      48    4.412309e-01    0.000e+00    7.952e+01    3.409e-03
    4      59    4.089507e-01    0.000e+00    3.617e+01    3.749e-03
    5      68    4.037674e-01    0.000e+00    4.400e+01    2.733e-03
    6      79    3.764410e-01    0.000e+00    7.219e+00    5.338e-03
    7      88    3.535034e-01    0.000e+00    2.584e+01    1.915e-02
    8      96    1.572252e-01    0.000e+00    3.863e+01    2.137e-01
    9     105    4.577239e-02    0.000e+00    3.533e+00    5.602e-02
   10     112    3.768510e-02    0.000e+00    7.762e+00    1.242e-02
   11     119    3.776125e-02    0.000e+00    7.620e+00    6.119e-03
   12     126    2.445482e-02    0.000e+00    8.833e+00    3.217e-02
   13     133    3.061496e-02    0.000e+00    2.351e+00    2.554e-02
   14     140    2.530928e-02    0.000e+00    3.862e+00    1.156e-02
   15     150    2.396506e-02    0.000e+00    9.694e+00    2.711e-02
   16     158    2.275218e-02    0.000e+00    6.433e+00    9.508e-03
   17     170    2.305228e-02    0.000e+00    4.808e+00    4.433e-03
   18     177    2.308372e-02    0.000e+00    1.947e+00    1.896e-03
   19     184    2.246771e-02    0.000e+00    4.221e+00    5.038e-03
   20     191    2.312150e-02    0.000e+00    1.546e+00    4.493e-03
   21     198    1.316370e-02    0.000e+00    7.725e+00    2.478e-02
   22     207    9.580600e-03    0.000e+00    1.865e+01    8.221e-02
   23     214    1.203728e-02    0.000e+00    1.473e+01    3.608e-02
   24     221    1.350491e-02    0.000e+00    1.496e+01    4.523e-02
   25     229    1.201574e-02    0.000e+00    6.301e+00    2.191e-02
   26     236    7.559026e-03    0.000e+00    3.171e+00    7.570e-03
   27     243    8.018026e-03    0.000e+00    7.475e-01    1.975e-03
   28     250    8.425532e-03    0.000e+00    5.426e-01    2.326e-03
   29     257    8.384473e-03    0.000e+00    3.845e-01    8.625e-04
   30     264    8.142399e-03    0.000e+00    8.996e-01    4.173e-03

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31     271    7.423198e-03    0.000e+00    2.405e+00    8.583e-03
   32     278    7.406560e-03    0.000e+00    5.652e-01    5.836e-03
   33     285    7.999510e-03    0.000e+00    5.869e-01    2.196e-03
   34     293    8.439501e-03    0.000e+00    7.011e-01    2.088e-03
   35     301    7.555483e-03    0.000e+00    6.638e-01    3.385e-03
   36     308    7.678455e-03    0.000e+00    1.747e-01    4.812e-04
   37     316    7.761478e-03    0.000e+00    1.199e-01    3.520e-04
   38     330    7.761820e-03    0.000e+00    9.200e-02    1.372e-05
   39     337    1.189825e-03    0.000e+00    3.391e+00    4.028e-02
   40     345    8.529099e-04    0.000e+00    2.160e+00    3.383e-03
   41     352    5.915561e-04    0.000e+00    1.075e+00    2.505e-03
   42     359    5.784707e-04    0.000e+00    1.573e-01    1.728e-04
   43     366    5.903778e-04    0.000e+00    2.312e-01    2.085e-04
   44     373    5.904587e-04    0.000e+00    5.240e-02    5.741e-05
   45     380    5.853470e-04    0.000e+00    1.829e-01    6.145e-05
   46     387    5.772605e-04    0.000e+00    3.323e-01    1.329e-04
   47     397    5.723065e-04    0.000e+00    5.772e-01    2.786e-04
   48     405    5.765775e-04    0.000e+00    7.187e-01    4.357e-04
   49     412    5.747525e-04    0.000e+00    4.605e-01    7.597e-05
   50     419    5.856665e-04    0.000e+00    4.033e-01    2.579e-04
   51     426    5.820289e-04    0.000e+00    8.644e-02    1.607e-04
   52     433    5.878548e-04    0.000e+00    6.535e-01    1.052e-03
   53     440    5.789611e-04    0.000e+00    2.582e-01    2.955e-04
   54     447    5.764551e-04    0.000e+00    9.558e-02    1.464e-04
   55     454    5.706990e-04    0.000e+00    2.014e-01    6.980e-04
   56     462    5.685052e-04    0.000e+00    1.273e+00    3.634e-03
   57     470    5.596492e-04    0.000e+00    7.864e-01    1.237e-03
   58     477    5.533162e-04    0.000e+00    5.241e-01    1.352e-04
   59     484    5.847843e-04    0.000e+00    1.286e+00    2.450e-03
   60     491    5.505561e-04    0.000e+00    2.352e-01    9.316e-04

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   61     498    5.479386e-04    0.000e+00    1.906e-01    4.781e-04
   62     505    5.243739e-04    0.000e+00    4.416e-01    5.556e-03
