<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0       7    3.753169e+01    0.000e+00    1.760e+03
    1      23    1.789118e+01    0.000e+00    8.584e+02    1.752e-02
    2      31    1.562871e+01    0.000e+00    7.092e+02    2.475e-02
    3      40    9.427622e+00    0.000e+00    1.557e+03    2.517e-01
    4      47    5.947847e+00    0.000e+00    1.514e+03    7.760e-01
    5      54    5.110111e+00    0.000e+00    7.046e+02    9.733e-02
    6      61    2.497324e+00    0.000e+00    3.595e+02    1.296e+00
    7      72    1.497008e+00    0.000e+00    1.128e+02    4.595e-02
    8      83    7.116183e-01    0.000e+00    1.531e+02    9.669e-03
    9      94    6.966537e-01    0.000e+00    2.773e+01    3.379e-03
   10     108    8.633007e-01    0.000e+00    9.022e+01    1.783e-02
   11     115    5.613730e-01    0.000e+00    6.736e+01    2.732e-02
   12     122    4.072337e-01    0.000e+00    1.664e+02    7.797e-01
   13     129    7.960138e-02    0.000e+00    8.347e+01    1.922e-01
   14     139    1.421537e-01    0.000e+00    3.827e+01    3.623e-02
   15     148    6.940091e-02    0.000e+00    1.039e+02    1.664e-01
   16     157    4.536912e-02    0.000e+00    1.353e+02    1.020e-01
   17     166    4.399991e-02    0.000e+00    2.710e+01    8.548e-02
   18     175    3.049778e-02    0.000e+00    7.611e+01    7.071e-02
   19     182    2.962688e-02    0.000e+00    8.580e+00    2.573e-02
   20     189    2.773684e-02    0.000e+00    5.602e+01    1.353e-02
   21     199    4.898047e-02    0.000e+00    1.136e+02    1.097e-02
   22     206    2.347720e-02    0.000e+00    2.234e+01    2.756e-02
   23     213    9.582696e-03    0.000e+00    9.008e+01    1.649e-02
   24     220    6.292929e-03    0.000e+00    6.413e+01    2.881e-02
   25     227    5.125124e-03    0.000e+00    2.312e+01    2.952e-02
   26     234    2.225361e-03    0.000e+00    2.312e+01    1.070e-02
   27     241    6.511554e-02    0.000e+00    7.663e+00    5.896e-02
   28     248    1.749098e-02    0.000e+00    3.195e+01    2.409e-02
   29     255    1.331417e-02    0.000e+00    4.385e+01    2.676e-02
   30     262    5.053928e-03    0.000e+00    2.383e+01    4.538e-03

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31     274    4.477237e-03    0.000e+00    2.867e+01    3.586e-03
   32     282    2.352663e-03    0.000e+00    2.603e+01    6.920e-03
   33     289    1.551250e-03    0.000e+00    6.810e+00    9.080e-03
   34     297    3.116064e-03    0.000e+00    9.227e+00    3.096e-03
   35     304    1.738244e-03    0.000e+00    8.122e+00    7.633e-03
   36     311    1.302986e-03    0.000e+00    2.251e+01    1.742e-02
