<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0       7    3.050977e+01    0.000e+00    2.101e+03
    1      23    6.605732e+00    0.000e+00    8.263e+02    1.771e-02
    2      31    6.570141e+00    0.000e+00    8.854e+02    2.930e-02
    3      40    2.629133e+00    0.000e+00    6.110e+02    2.453e-01
    4      48    1.991869e+00    0.000e+00    1.340e+03    3.665e-01
    5      62    1.257827e+00    0.000e+00    5.846e+02    6.784e-02
    6      72    9.319824e-01    0.000e+00    8.560e+01    2.370e-02
    7      86    8.052272e-01    0.000e+00    2.803e+01    7.901e-03
    8      94    7.746110e-01    0.000e+00    3.340e+01    4.876e-03
    9     102    6.651457e-01    0.000e+00    2.221e+02    3.184e-01
   10     111    5.831622e-01    0.000e+00    5.002e+02    1.670e-01
   11     118    3.689292e-01    0.000e+00    1.131e+02    3.047e-02
   12     126    1.846572e-01    0.000e+00    1.700e+02    3.261e-02
   13     133    1.165004e-01    0.000e+00    1.218e+02    1.605e-01
   14     140    5.046474e-02    0.000e+00    4.093e+01    4.351e-02
   15     147    2.483425e-02    0.000e+00    4.358e+01    2.431e-02
   16     154    1.633373e-02    0.000e+00    5.770e+00    1.596e-02
   17     162    1.205705e-02    0.000e+00    5.346e+01    2.056e-02
   18     169    6.265279e-03    0.000e+00    2.718e+01    9.833e-03
   19     176    1.683681e-03    0.000e+00    8.419e+00    9.913e-03
   20     183    1.637878e-03    0.000e+00    1.707e+00    5.979e-04
   21     190    1.558843e-03    0.000e+00    3.099e+00    4.382e-04
   22     197    1.523651e-03    0.000e+00    1.117e+00    1.652e-04
   23     204    1.494559e-03    0.000e+00    1.232e-01    1.488e-04
   24     211    1.496167e-03    0.000e+00    2.471e-01    1.334e-04
   25     218    1.501059e-03    0.000e+00    3.300e-01    3.914e-04
   26     225    1.496592e-03    0.000e+00    1.819e-01    1.383e-04
   27     232    1.444911e-03    0.000e+00    1.301e+00    9.692e-04
   28     239    1.539665e-03    0.000e+00    4.106e+00    5.065e-03
   29     246    1.416502e-03    0.000e+00    1.976e+00    1.786e-03
   30     253    1.385615e-03    0.000e+00    5.702e-01    1.937e-03

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31     260    1.427556e-03    0.000e+00    1.629e-01    1.368e-03
   32     267    3.267986e-03    0.000e+00    5.995e+00    2.237e-02
   33     281    2.777587e-03    0.000e+00    5.033e+00    4.584e-03
   34     289    1.930766e-03    0.000e+00    4.222e+00    5.854e-03
   35     298    1.466512e-03    0.000e+00    1.848e+00    3.620e-03
   36     305    1.415296e-03    0.000e+00    5.211e+00    5.634e-03
   37     312    1.404380e-03    0.000e+00    1.414e+00    1.944e-03
   38     319    1.282615e-03    0.000e+00    6.635e-01    7.313e-04
   39     330    1.207056e-03    0.000e+00    5.277e+00    1.342e-03
   40     338    1.077873e-03    0.000e+00    5.700e-01    1.125e-03
   41     346    1.218518e-03    0.000e+00    9.929e-01    1.512e-03
   42     353    1.189266e-03    0.000e+00    3.058e-01    2.583e-04
   43     363    1.141243e-03    0.000e+00    1.791e+00    9.710e-04
   44     370    1.164103e-03    0.000e+00    1.041e+00    4.155e-04
   45     377    1.151588e-03    0.000e+00    1.121e+00    7.894e-05
   46     386    1.168791e-03    0.000e+00    2.413e+00    1.143e-03
